% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
100.00    0.004000        1333         3           wait4
  0.00    0.000000           0         4           read
  0.00    0.000000           0         9           open
  0.00    0.000000           0         9           close
  0.00    0.000000           0        47        18 stat
  0.00    0.000000           0         6           fstat
  0.00    0.000000           0        12           lstat
  0.00    0.000000           0        18           mmap
  0.00    0.000000           0        10           mprotect
  0.00    0.000000           0         3           munmap
  0.00    0.000000           0         6           brk
  0.00    0.000000           0         9           rt_sigaction
  0.00    0.000000           0         1           ioctl
  0.00    0.000000           0        34        18 access
  0.00    0.000000           0         1           getpid
  0.00    0.000000           0         3           vfork
  0.00    0.000000           0         2           execve
  0.00    0.000000           0         3           unlink
  0.00    0.000000           0         2           readlink
  0.00    0.000000           0         1           getrlimit
  0.00    0.000000           0         2           arch_prctl
  0.00    0.000000           0         1           setrlimit
------ ----------- ----------- --------- --------- ----------------
100.00    0.004000                   186        36 total
